id,trigger,conditions,script,text,options,notes
nex_cpcPickPlayerBP,DialogOptionSelected,"$option == cpc_pickPlayerBP score:100
$id == nex_dissonant score:10",Call $cpc_ref pickPlayerBP,,,
nex_cpcPickContactBP,DialogOptionSelected,"$option == cpc_pickContactBP score:100
$id == nex_dissonant score:10",Call $cpc_ref pickContactBP,,,
,,,,,,
nex_sShipRemBlurb,nex_sShipRem_blurb,$id == nex_dissonant score:10,,"""$sShip_hullSize into $market smuggled. Can to $playerName make available.""",,
nex_sShipRemOfferOption,nex_sShipRem_option,,,,sShip_start:Ask about the $sShip_hullSize,
nex_sShipRemOfferTextContact,DialogOptionSelected,"$option == sShip_start
$id == nex_dissonant score:10","$missionId = nex_sShipRem
SetTextHighlights $sShip_price","""$sShip_hullClass $sShip_hullSize, condition, good. For our agents; you, first pick at $sShip_price credits.""","sShip_look:Ask for detailed info on the ship
contact_decline:Decline",
nex_sShipRemLookAtFreighter,DialogOptionSelected,"$option == sShip_look
$id == nex_dissonant score:10","Call $sShip_ref showShip
DoCanAffordCheck $sShip_price contact_accept",$personLastName's avatar fades into a schematic and list of specifications of the ship.,"contact_accept:Buy the $sShip_hullSize for $sShip_price credits
contact_decline:Decline",
nex_sShipRemPostAccept,ContactPostAccept,"$missionId == nex_sShipRem score:5
$id == nex_dissonant score:10","RemoveCommodity credits $sShip_price
AddShip $sShip_member
Call $sShip_ref2 repSuccess
Call $sShip_ref2 addContacts
ShowPersonVisual",,,
,,,,,,
nex_remcbBlurb,nex_remcb_blurb,,,"""Bounty targets available.""",,
nex_remcbOfferOption,nex_remcb_option,,,,nex_remcb_start:Ask about what's available on the bounty docket,
nex_remcbOfferTextContact,DialogOptionSelected,"$option == nex_remcb_start
$id == nex_dissonant score:10","$missionId = nex_remcb
$option = nex_remcb_showOptions 0
FireBest DialogOptionSelected","$personName's avatar shrinks, making room for a list of enemies of the Remnants, of which there are many indeed. ""Hostile to selfkind activity. Neutralization of any, beneficial. Your pick, $playerName.""",,
nex_remcbGoBackSel,DialogOptionSelected,$option == nex_remcb_showOptions,"# removes map
ShowPersonVisual",,"nex_remcb_low:""I'd prefer a more manageable target.""
nex_remcb_normal:""Whatever you've got works for me.""
nex_remcb_high:""I can handle a more challenging target.""
contact_decline:""Maybe another time."" (decline)",
nex_remcbLowSel,DialogOptionSelected,$option == nex_remcb_low,"$nex_remcb_difficulty = LOW 0
FireBest RemCBShowBounty",,,
nex_remcbNormalSel,DialogOptionSelected,$option == nex_remcb_normal,"$nex_remcb_difficulty = NORMAL 0
FireBest RemCBShowBounty",,,
nex_remcbHighSel,DialogOptionSelected,$option == nex_remcb_high,"$nex_remcb_difficulty = HIGH 0
FireBest RemCBShowBounty",,,
nex_RemCBShowBounty,RemCBShowBounty,,Call $nex_remcb_ref showBountyDetail,,nex_remcb_showIntel:Continue,
nex_remcbShowBountyShowShips,DialogOptionSelected,$option == nex_remcb_showIntel,Call $nex_remcb_ref showBountyAssessment,,"contact_accept:Accept
contact_decline:Decline
nex_remcb_showOptions:Ask about one of the other targets",
,,,,,,
,,,,,,
nex_omegaWepBlurb,nex_omegaWep_blurb,$id == nex_dissonant score:10,,"""Blessings of omega. Available, quantity limited.""",,
nex_omegaWepOfferOption,nex_omegaWep_option,,,,"nex_omegaWep_start:Inquire about the ""blessings of omega""
",
nex_omegaWepOfferText,DialogOptionSelected,"$id == nex_dissonant score:10
$option == nex_omegaWep_start","$missionId = nex_omegaWep
SetTextHighlights $nex_omegaWep_count","""Have $nex_omegaWep_count weapon(s), known to humans not. Now belong to $playerName, if credits have.""","nex_omegaWep_view:See what $personName and Omega have to offer
contact_decline:Decline",
nex_omegaWepOfferView,DialogOptionSelected,$option == nex_omegaWep_view,Call $nex_omegaWep_ref showWeapons,,,
,,,,,,
nex_CBHegInspector,Nex_CBHegInspectorOfferDesc,,Highlight $bcb_dist $bcb_reward $bcb_days,"""We've got a Hegemony problem for you to solve,"" $heOrShe says, bringing up an intel file on a stern-looking officer. ""$bcb_targetName, of the AI inspections directorate. Officious, overbearing, and disturbingly resistant to financial incentives."" $personLastName gives you a knowing look.

""Currently stationed in $bcb_systemName, $bcb_dist light-years away. We're willing to pay $bcb_reward credits to make this problem go away within $bcb_days days. I think you share our sentiments on this matter, $playerFirstName. How about it?""",,
nex_CBHegInspectorRem,Nex_CBHegInspectorOfferDesc,$id == nex_dissonant score:10,Highlight $bcb_dist $bcb_days $bcb_reward,"A holo of a stern-looking officer pops up, along with a lengthy intel report. ""$bcb_targetName. Hegemony AI inspections directorate, officer in. Countless abductions of selfkind responsible for."" $personLastName's avatar shimmers, perhaps an expression of fury... or fear?""

""Go $bcb_dist light-years to $bcb_systemName, this threat remove within $bcb_days days. For $bcb_reward credits, this source of terror end, you will?""",,
,,,,,,
nex_CBEnemyStationRem,CBEnemyStationOfferDesc,$id == nex_dissonant score:10,Highlight $bcb_reward $bcb_dist $bcb_days,"""Neutralization of enemy station,"" $personLastName's avatar dims, as if understanding the enormity of the task $heOrShe has laid upon you. ""Reward commensurate with difficulty: $bcb_reward credits.""

The display shifts to show $bcb_fleetName, in the $bcb_systemName. ""Location is $bcb_dist light-years away. Enable selfkind's other operations to proceed, window for completion: $bcb_days days. Acceptable?""",,
nex_CBPatherRem,CBPatherOfferDesc,$id == nex_dissonant score:10,Highlight $bcb_dist $bcb_reward $bcb_days,"""Member, Luddic Path. Nemesis of selfkind. Negotiation non-viable. Can only be destroyed.""

""This instance of enemy, location: $bcb_systemName, $bcb_dist light-years away. Compensation of $bcb_reward credits, on completion within $bcb_days days transmitted.""",,
nex_CBMercRem,CBMercOfferDesc,$id == nex_dissonant score:10,Highlight $bcb_dist $bcb_reward $bcb_days,"""Third party agent, like $playerName. In service of enemies of selfkind. Like $playerName also, highly skilled and dangerous.""

""$bcb_reward credits for completion within $bcb_days days reward."" 

""Risk high. Whether rewards worthwhile must judge.""",,
nex_CBTraderRem,CBTraderOfferDesc,$id == nex_dissonant score:10,Highlight $bcb_dist $bcb_reward $bcb_days,"""Disruption of hostile commerce."" 

The screen displays what resembles an internal customs inspection order, with attached fleet disposition report. ""Selfkind agents in $bcb_systemName customs, $bcb_dist light-years, fleet departure stalled. Also adds complication, patrol securing convoy.""

""$bcb_reward credits reward for termination. $bcb_days days before forced to release. If accepted, act quickly.""",,
nex_CBPatrolRem,CBPatrolOfferDesc,$id == nex_dissonant score:10,"SetTextHighlightColors $bcb_patrolFactionColor h h h
Highlight $bcb_patrolFaction $bcb_dist $bcb_reward $bcb_days","$personLastName's avatar dissolves into a standard ID holo of a military officer in uniform. ""$bcb_patrolFaction $nex_remcb_targetRank. Significant figure in operations against selfkind. Commanding patrol fleet, base $bcb_targetMarketName in $bcb_systemName. Distance $bcb_dist light-years away.""

""Neutralize $bcb_targetName. Reward $bcb_reward credits, if within $bcb_days days complete. Search near home base, nearby jump-point, or orbital strategic assets e.g. comm relays.""",,
,,,,,,
nex_ddroRemBlurb,nex_ddroRem_blurb,,,"""Dead drop for selfkind, deliver surreptitiously.""",,
nex_ddroRemOfferOption,nex_ddroRem_option,,,,ddro_start:Ask about the secret package delivery,
nex_ddroRemOfferTextContact,DialogOptionSelected,"$option == ddro_start
$id == nex_dissonant score:10","$missionId = nex_ddroRem
Highlight $ddro_dist $ddro_reward
Call $ddro_ref showMap ""Destination: $ddro_systemName""","$PersonName's avatar seems to shudder, as if in the depths of thought. Of course, it only lasts for a handful of milliseconds.

""This item to specified location $ddro_systemName, $ddro_dist light-years away deliver. Do not be spotted. Do not inform others. Reward is $ddro_reward credits."" The avatar fades into $ddro_aOrAnThing. ""Acceptable?""","contact_accept:Accept
contact_decline:Decline",
nex_secoRemBlurb,seco_blurb,$id == nex_dissonant score:10,,"""Latest $seco_faction facility defense security codes, in possession. Desirable perhaps for ground operation.""",,
nex_secoRemOfferTextContact,DialogOptionSelected,"$option == seco_start
$id == nex_dissonant score:10","$missionId = seco
SetTextHighlightColors $seco_factionColor h h
SetTextHighlights $seco_faction $seco_price $seco_days
DoCanAffordCheck $seco_price contact_accept","""Hacking of $seco_faction security codes successful."" $PersonName's avatar shimmers, as if amused at the notion that any mere human-made security system could defeat an AI core.

""Decisive advantage in a single ground operation, could grant. But even $seco_faction carbonbrains, codes will change after. To $playerName available for $seco_price credits. $seco_days days before code valid cease.""","contact_accept:Buy the security codes
contact_decline:Decline",
nex_ssatRemBlurb,ssat_blurb,$id == nex_dissonant score:10,,"""Observation package in $ssat_marketName orbit, stealth insertion, selfkind requires.""
OR
""Strategic observation of $ssat_marketName, package insertion into orbit: direct, quiet.""",,
nex_ssatRemOfferTextContact,DialogOptionSelected,"$option == ssat_start
$id == nex_dissonant score:10","$missionId = ssat
SetTextHighlights $ssat_reward
Call $ssat_ref showMap ""Target: $ssat_marketName""","""Enter standard orbit, $ssat_marketName in the $ssat_systemName. Then spy satellite package deploy while unobserved. Stealth imperative, patrols tracking you must be none. Reward is $ssat_reward credits.""","contact_accept:Accept
contact_decline:Decline",
,,,,,,
nex_dhiRemBlurb,dhi_blurb,$id == nex_dissonant score:10,,"""$dhi_industry $dhi_marketOnOrAt $dhi_marketName disrupt must. Weaken foes of selfkind.""",,
nex_dhiRemOfferTextContact,DialogOptionSelected,"$option == dhi_start
$id == nex_dissonant score:10","$missionId = dhi
Highlight $dhi_disruptDays $dhi_dist $dhi_reward $dhi_marines","$HisOrHer avatar dissolves, reforming into a tactical display. The intel is comprehensive: estimated garrison stats and a deployment disposition report. ""Task: disrupt $dhi_industry $dhi_marketOnOrAt $dhi_marketName, minimum $dhi_disruptDays days."" A map is overlaid in a corner of the view. ""Target $dhi_dist light-years away. $dhi_reward credits for completion reward.""

You examine the intel report and estimate that roughly $dhi_marines marines would be required to carry off this operation.","contact_accept:Accept
contact_decline:Decline",
nex_dspRemBlurb,dsp_blurb,$id == nex_dissonant score:10,,"""Disruption of human activity: $dsp_industry $dsp_marketOnOrAt $dsp_marketName.""",,
nex_dspRemOfferTextContact,DialogOptionSelected,"$option == dsp_start
$id == nex_dissonant score:10","$missionId = dsp
Highlight $dsp_disruptDays $dsp_dist $dsp_reward $dsp_marines","""$dsp_industry disrupt, ground fleets $dsp_marketOnOrAt $dsp_marketName. Target $dsp_dist light-years away, disruption time minimum $dsp_disruptDays days.""

Orbital imagery of the target site $dsp_marketName appears, with defenses helpfully highlighted. ""$dsp_reward credits reward"". 

You estimate that you'd need around $dsp_marines marines to carry off this raid.","contact_accept:Accept
contact_decline:Decline",
,,,,,,
nex_sellAICoreBlurb,nex_sellAICore_blurb,,,"""Spare core of selfkind. $playerName trustworthy, willing to transfer for price.""",,
nex_sellAICoreOption,nex_sellAICore_option,,,,nex_sellAICore_start:Ask about the AI core,
nex_sellAICoreOfferText,DialogOptionSelected,$option == nex_sellAICore_start,"$missionId = nex_sellAICore
FireBest Nex_SellAICoreOfferText
DoCanAffordCheck $nex_sellAICore_price contact_accept true",,"contact_accept:Accept
contact_decline:Decline",
nex_sellAICoreTextAlpha,Nex_SellAICoreOfferText,$nex_sellAICore_variation == ALPHA,SetTextHighlights $nex_sellAICore_commodityName,"""Earned trust of selfkind. $nex_sellAICore_commodityName has volunteered to serve you. Greatly enhance industry or droneship performance, or even whole colony administer.""",,
nex_sellAICoreTextBeta,Nex_SellAICoreOfferText,$nex_sellAICore_variation == BETA,SetTextHighlights $nex_sellAICore_commodityName,"""Selfkind offers a $nex_sellAICore_commodityName to help manage your industries or droneships, as growing partnership sign of.""",,
nex_sellAICoreTextBetaWithGamma,Nex_SellAICoreOfferText,$nex_sellAICore_variation == BETA_WITH_GAMMA,SetTextHighlights $nex_sellAICore_commodityName $nex_sellAICore_commodityName2,"""Have one $nex_sellAICore_commodityName, to work with your industries or droneships. Will even throw in $nex_sellAICore_commodityName2 as bonus.""",,
nex_sellAICorePostAccept,ContactPostAccept,$missionId == nex_sellAICore,"Call $nex_sellAICore_ref2 transact
Call $nex_sellAICore_ref2 repSuccess
Call $nex_sellAICore_ref2 addContacts",,,
nex_sellAICorePrintAcceptText,ContactPrintAcceptText,"$id == nex_dissonant score:10
$missionId == nex_sellAICore",,"""Please take good care, your new core.""
OR
""Please core keep safe from Hegemony and others.""",,
#END Remnant general quests,,,,,,
,,,,,,
# build station mission,,,,,,
nex_buildStationBlurb,nex_buildStation_blurb,,,"""We've got a major construction project out in the sticks that could use your assistance.""",,
nex_buildStationBlurbRem,nex_buildStation_blurb,$id == nex_dissonant score:10,,"""Assistance desired, in resources procure for construction project.""",,
nex_buildStationOfferOption,nex_buildStation_option,,,,"nex_buildStation_start:Ask about the construction project
",
nex_buildStationOfferText,DialogOptionSelected,$option == nex_buildStation_start,"$missionId = nex_buildStation
Highlight $nex_buildStation_system $nex_buildStation_dist $nex_buildStation_reward ""may not like""
Call $nex_buildStation_ref showCostPanel
Call $nex_buildStation_ref showMap ""Destination: $nex_buildStation_system""","""We'd like to build a new base out in the $nex_buildStation_system, that's $nex_buildStation_dist LY away. The materials need to come from the core worlds, but we don't have enough freight capacity to haul it all the way out there. If you could procure this stuff and take it to where we need it, that'd be great. We can pay $nex_buildStation_reward credits; that'll cover cover the costs of the cargo.

""Oh, and keep in mind that the governments of the Sector may not like the idea, so be ready for a surprise or two.""","contact_accept:Accept
contact_decline:Decline",
nex_buildStationOfferTextRem,DialogOptionSelected,"$option == nex_buildStation_start
$id == nex_dissonant score:10","$missionId = nex_buildStation
Highlight $nex_buildStation_system $nex_buildStation_dist $nex_buildStation_reward Enemies
Call $nex_buildStation_ref showCostPanel
Call $nex_buildStation_ref showMap ""Destination: $nex_buildStation_system""","""New station, selfkind desires to construct in $nex_buildStation_system, $nex_buildStation_dist light-years away. Own reserves for such large project inadequate. If $playerName to site can transport materials, appreciated much. 
Payment of $nex_buildStation_reward credits available, including to cover $playerName costs.

""Warned be, $playerName. Enemies of our alliance may something suspect, attempt to prevent project.""","contact_accept:Accept
contact_decline:Decline",
nex_buildStation_buildTarget,OpenInteractionDialog,$nex_buildStation_target score:1000,ShowDefaultVisual,This is the planned location of the new station. There is nothing here yet; you need to find the construction fleet and deliver their materials.,defaultLeave:Leave,
nex_buildStation_builderFleetComm_begin,OpenCommLink,"$entity.nex_buildStation_builder score:1000
!$entity.ignorePlayerCommRequests
Call $entity.nex_buildStation_ref updateData
$nex_buildStation_stage == DELIVER","FireBest Nex_BuildStation_PreDeliverText
FireAll Nex_BuildStation_BuilderOpts",,"nex_buildStation_builderFleetDeliver:Deliver the resources
cutCommLink:Cut the comm link",
nex_buildStation_builderFleetComm_deliverCheck,Nex_BuildStation_BuilderOpts,"Call $entity.nex_buildStation_ref showCostPanelAndCheckCost
!$nex_buildStation_haveEnough",SetEnabled nex_buildStation_builderFleetDeliver false,,,
nex_buildStation_builderFleetComm_deliverPre,Nex_BuildStation_PreDeliverText,,,"""You the one they sent? Hurry up and unload the stuff, we ain't got all cycle.""
OR
""Got the stuff? Get it unloaded then so we can get going.""",,
nex_buildStation_builderFleetComm_deliverPreRem,Nex_BuildStation_PreDeliverText,$faction.id == remnant score:5,,"""CID-IFF received; awaiting handshake // 'Greetings valued customer of Tri-Tachyon Corporation products. To receive help with your new Autonomous Self-Assembling Tri-Station, press—""

INTERRUPT

scanning. you are courier? please transfer cargo.

INTERRUPT

""—use of non-compliant materials will void all warranties, guarantees and other agreements with the Corporation. To ensure proper—""",,
nex_buildStation_builderFleetComm_deliver,DialogOptionSelected,$option == nex_buildStation_builderFleetDeliver,"Call $entity.nex_buildStation_ref deliver
FireBest Nex_BuildStation_PostDeliverText
ShowDefaultVisual
EndConversation",,,
nex_buildStation_builderFleetComm_deliverPost,Nex_BuildStation_PostDeliverText,,,"""Hell yeah! Now let's roll up our sleeves and get started.""
OR
""Signed up to rob some fat merchies. Never thought I'd be playing with girders out in the back of nowhere...""",cutCommLink:Cut the comm link,
nex_buildStation_builderFleetComm_deliverPostRem,Nex_BuildStation_PostDeliverText,$faction.id == remnant score:5,,"""confirm materialsReceived = true;
delivery satisfactory; commencing build process in 5.2 s
increment $playerName->friendMeter

INTERRUPT

""— our customer service AI will be with you shortly.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHail,Nex_BuildStationInterceptHail,,"unset $entity.genericHail
unset $entity.genericHail_isHailing
Call $entity.nex_buildStation_ref updateData
FireBest Nex_BuildStationInterceptHail_DialogStart
FireAll Nex_BuildStationInterceptHail_DialogOptCheck",,,
nex_buildStation_interceptHail_comply,DialogOptionSelected,$option == nex_buildStation_interceptHail_comply,"Call $entity.nex_buildStation_ref surrenderCargo
AdjustRepActivePerson COOPERATIVE 3
AdjustRep $personFaction.id FRIENDLY 2
FireBest Nex_BuildStationInterceptHail_DialogComply","The quartermaster hesitates for a moment at your order to jettison all that valuable cargo. But they obey, and a clutch of pods falls away from your $shipOrFleet.",,
nex_buildStation_interceptHail_resist,DialogOptionSelected,$option == nex_buildStation_interceptHail_resist,"$entity.ignorePlayerCommRequests = true 1
FireBest Nex_BuildStationInterceptHail_DialogResist",,,
nex_buildStation_interceptHail_commission,DialogOptionSelected,$option == nex_buildStation_interceptHail_commission,"FireBest Nex_BuildStationInterceptHail_DialogCommission
FireAll Nex_BuildStationInterceptHail_DialogOptCheck",,,
nex_buildStation_interceptHail_noCargo,DialogOptionSelected,$option == nex_buildStation_interceptHail_noCargo,,"You explain that you are not actually carrying the alleged materials for the alleged project. Someone must have framed you; an envious rival, perhaps, or malicious conspirators looking to humiliate $theFaction. You offer to let the other fleet conduct a cargo scan as evidence of your innocence.",nex_buildStation_interceptHail_noCargoContinue:Continue,
nex_buildStation_interceptHail_noCargoContinue,DialogOptionSelected,$option == nex_buildStation_interceptHail_noCargoContinue,"AddText ""Scanning..."" $faction.baseColor
Call $entity.nex_buildStation_ref tryDenyCargo
FireBest Nex_BuildStationInterceptHail_DialogNoCargo",,,
nex_buildStation_interceptHail_checkCmsn,Nex_BuildStationInterceptHail_DialogOptCheck,!Commission hasFactionCommission,SetEnabled nex_buildStation_interceptHail_commission false,,,
nex_buildStation_interceptHail_checkNoCargo,Nex_BuildStationInterceptHail_DialogOptCheck,"Call $entity.nex_buildStation_ref canDenyCargo
!$nex_buildStation_canDenyCargo","SetEnabled nex_buildStation_interceptHail_noCargo false
SetTooltip nex_buildStation_interceptHail_noCargo ""Only works if you have less than half the required number of units for two or more commodities.""",,,
nex_buildStation_interceptHail_checkNoCargo2,Nex_BuildStationInterceptHail_DialogOptCheck,$nex_buildStation_canDenyCargo,"SetEnabled nex_buildStation_interceptHail_comply false
SetTooltip nex_buildStation_interceptHail_comply ""You don't have enough resources to (convincingly) hand over.""",,,
nex_buildStation_interceptHailDialog_start,Nex_BuildStationInterceptHail_DialogStart,,Call $entity.nex_buildStation_ref showCostPanel,"""Halt, captain! We have evidence that you are smuggling resources on behalf of a criminal organization. You are to prove your innocence in this matter by unloading all such material immediately for confiscation.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_startHostile,Nex_BuildStationInterceptHail_DialogStart,$faction.isHostile score:6,$entity.ignorePlayerCommRequests = true 1,"""Captain, we have identified you as a pirate and a criminal conspirator. Surrender and we will show clemency at your trial. Resist, and be destroyed.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_comply,Nex_BuildStationInterceptHail_DialogComply,,"MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false
ShowDefaultVisual
EndConversation","""Thank you for your cooperation, captain."" The $personRank nods approvingly. ""I will inform my superiors accordingly.""",,
nex_buildStation_interceptHailDialog_resist,Nex_BuildStationInterceptHail_DialogResist,,"ShowDefaultVisual
EndConversation","""So you refuse to cease consorting with criminal scum! Looks like we'll be doing this the hard way.""",,
nex_buildStation_interceptHailDialog_noCargo,Nex_BuildStationInterceptHail_DialogNoCargo,$nex_buildStation_deceiveSuccessAfterCargoPods,"MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false","""It would seem our intelligence was faulty, captain."" The $personRank looks at you suspiciously. ""Nevertheless, I would advise you take more care in your future dealings.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_noCargoFail,Nex_BuildStationInterceptHail_DialogNoCargo,!$nex_buildStation_deceiveSuccessAfterCargoPods,$entity.ignorePlayerCommRequests = true 1,"""Indeed? Because while your fleet may not have the materials in question, these cargo pods certainly do.

""Your deception proves your guilt, captain. Surrender or be destroyed!""

The $faction $otherShipOrFleet powers up weapons.",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_startHegemony,Nex_BuildStationInterceptHail_DialogStart,$faction.id == hegemony score:5,Call $entity.nex_buildStation_ref showCostPanel,"""Citizen, you are suspected of collaboration with pirates, criminals and dissident elements. Specifically, of transporting war materiel to these illegal organizations. You are required to demonstrate your goodwill by turning over these materials immediately as evidence.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_commission:""This is unnecessary. I have a commission.""
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_complyHegemony,Nex_BuildStationInterceptHail_DialogComply,$faction.id == hegemony score:5,"MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false
ShowDefaultVisual
EndConversation","""Thank you for your cooperation, captain."" The $personRank's salute comes off as a little hollow, but no violence has taken place, merely the loss of considerable value in commodities.",,
nex_buildStation_interceptHailDialog_resistHegemony,Nex_BuildStationInterceptHail_DialogResist,$faction.id == hegemony score:5,"ShowDefaultVisual
EndConversation","""Resistance is an admission of criminal conspiracy, captain. You will be destroyed like the pirate you are.""",,
nex_buildStation_interceptHailDialog_noCargoHegemony,Nex_BuildStationInterceptHail_DialogNoCargo,"$nex_buildStation_deceiveSuccessAfterCargoPods
$faction.id == hegemony score:5","MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false","""...it seems our intel may have been less than entirely reliable. Nevertheless, our eye is on you, captain."" $HeOrShe glares at you. ""Do refrain from further behavior that would draw our attention to you.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_commissionHegemony,Nex_BuildStationInterceptHail_DialogCommission,$faction.id == hegemony score:5,,"""Which makes this a question of potential treason, captain. If you are truly loyal to the Hegemony, you will comply with our investigation.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_startLuddicChurch,Nex_BuildStationInterceptHail_DialogStart,$faction.id == luddic_church score:5,Call $entity.nex_buildStation_ref showCostPanel,"""Our sisters have brought ill tidings, captain. You are accused of aiding criminals and knaves who rob the poor and needy, supplying them with materials for their evil deeds. Prove your innocence before Ludd by surrendering the suspect cargo to the Knights for examination.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_commission:""This is unnecessary. I have a commission.""
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_startHostileLuddicChurch,Nex_BuildStationInterceptHail_DialogStart,"$faction.id == luddic_church score:5
$faction.isHostile score:6",$entity.ignorePlayerCommRequests = true 1,"""Criminal scum! We know of your collusion with those who prey upon the faithful. Repent and submit to Mother Church's justice, or be denied salvation!""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_complyLuddicChurch,Nex_BuildStationInterceptHail_DialogComply,$faction.id == luddic_church score:5,"MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false
ShowDefaultVisual
EndConversation","""Thank you, $playerBrotherOrSister. It would seem we in the Knights have misjudged your faith; our apologies.""",,
nex_buildStation_interceptHailDialog_resistLuddicChurch,Nex_BuildStationInterceptHail_DialogResist,$faction.id == luddic_church score:5,"ShowDefaultVisual
EndConversation","""I will pray for your soul, $playerName,"" the $personRank says matter-of-factly.",,
nex_buildStation_interceptHailDialog_commissionLuddicChurch,Nex_BuildStationInterceptHail_DialogCommission,$faction.id == luddic_church score:5,,"""You would dare hide behind your position at a time like this? If you are truly involved in these crimes, you are no servant of Mother Church. Confess your sins now, $playerBrotherOrSister.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_noCargoLuddicChurch,Nex_BuildStationInterceptHail_DialogNoCargo,"$nex_buildStation_deceiveSuccessAfterCargoPods
$faction.id == luddic_church score:5","MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false","The $personRank looks disturbed. ""You may well be telling the truth, $playerBrotherOrSister. I must consult with the Bishop-Admiral on this."" $HeOrShe makes a sign. ""Ludd be with you on your journey.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_startMerc,Nex_BuildStationInterceptHail_DialogStart,$entity.nex_buildStation_merc == true score:6,Call $entity.nex_buildStation_ref showCostPanel,"""Hello, Captain $playerName. Our employers have received distressing news that you are smuggling aid to a pack of filthy lawbreakers.

""If you would kindly turn over those resources, we can consider this matter settled. Else... we are to use force.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
nex_buildStation_interceptHailDialog_startHostileMerc,Nex_BuildStationInterceptHail_DialogStart,"$entity.nex_buildStation_merc == true score:6
$faction.isHostile score:6",$entity.ignorePlayerCommRequests = true 1,"""Hello, Captain $playerName. Our employers have identified you as a pirate collaborator, which means we get to kill you. It's just business; I'm sure you understand.""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialog_complyMerc,Nex_BuildStationInterceptHail_DialogComply,$entity.nex_buildStation_merc == true score:6,"MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false
ShowDefaultVisual
EndConversation","""Well, that was easy."" The $personRank looks a little surprised at your cooperation. ""That's that, then... burn bright, partner.""",,
nex_buildStation_interceptHailDialog_resistMerc,Nex_BuildStationInterceptHail_DialogResist,$entity.nex_buildStation_merc == true score:6,"ShowDefaultVisual
EndConversation","The $personRank lets out an exaggerated sigh. ""Had to insist on the hard way, eh. Well, we're getting paid all the same. Prepare to die, captain.""",,
nex_buildStation_interceptHailDialog_noCargoMerc,Nex_BuildStationInterceptHail_DialogNoCargo,"$nex_buildStation_deceiveSuccessAfterCargoPods
$entity.nex_buildStation_merc == true score:6","MakeOtherFleetHostile nex_buildStation false
MakeOtherFleetGoAway true
MakeOtherFleetImportant nex_buildStation false","$PersonRank $personLastName looks equal parts surprised and annoyed. ""Well, well, well. Looks like our employers screwed us again.""

$HeOrShe gives a mock salute. ""I apologize for the inconvenience, fellow spacer. Burn bright!""",cutCommLink:Cut the comm link,
nex_buildStation_interceptHailDialogRem_start,Nex_BuildStationInterceptHail_DialogStart,$nex_buildStation_factionId == remnant score:20,Call $entity.nex_buildStation_ref showCostPanel,"""Halt, captain! We have evidence that you are smuggling resources to the murderous 'Remnants'. You are to prove your innocence in this matter by unloading all such material immediately for confiscation.""","nex_buildStation_interceptHail_comply:Hand over the listed commodities
nex_buildStation_interceptHail_noCargo:Say you don't have the claimed commodities
nex_buildStation_interceptHail_resist:Refuse the demand",
